"plan_label","model","B","param_name","param_value","milp_damage","sim_mean","sim_se","sim_ci_lo","sim_ci_hi","n_cleared"
"baseline","none",0,"",NA,NA,17.29,0.945833495919871,15.4361663479971,19.143833652003,0
"corridor_row10","corridor",17,"",NA,NA,1.19,0.299076400584823,0.603810254853748,1.77618974514626,17
"A_B13_tau0","A",13,"tau",0,80,4.38,0.36344929602568,3.66763937978967,5.09236062021033,13
"A_B20_tau0","A",20,"tau",0,0,0,0,0,0,20
"B_B5_alpha005","B",5,"alpha",0.05,95.127085,11.95,0.789266039915266,10.4030385617661,13.4969614382339,5
"B_B8_alpha005","B",8,"alpha",0.05,87.392293,4.91,0.419088379867875,4.08858677545897,5.73141322454104,8
"B_B10_alpha005","B",10,"alpha",0.05,77.607043,5.31,0.409931564746546,4.50653413309677,6.11346586690323,10
"B_B10_alpha03","B",10,"alpha",0.3,0.5931,5.31,0.444187353275192,4.43939278758062,6.18060721241937,10
"B_B13_alpha03","B",13,"alpha",0.3,0.415701,3.12,0.313253020591694,2.50602407964028,3.73397592035972,13
"B_B16_alpha005","B",16,"alpha",0.05,30.757105,2.75,0.290074622421794,2.18145374005328,3.31854625994672,16
"B_B16_alpha03","B",16,"alpha",0.3,0.278918,0.64,0.228659945643053,0.191826506539615,1.08817349346038,16
"B_B20_alpha03","B",20,"alpha",0.3,0,0,0,0,0,20
