"plan_label","model","B","param_name","param_value","milp_damage","sim_mean","sim_se","sim_ci_lo","sim_ci_hi","n_cleared"
"baseline","none",0,"",NA,NA,16.43,0.655121579773012,15.1459617036449,17.7140382963551,0
"corridor_row10","corridor",17,"",NA,NA,1.6,0.253780228552981,1.10259075203616,2.09740924796384,17
"A_B13_tau0","A",13,"tau",0,80,4.825,0.281822282296482,4.27262832669889,5.3773716733011,13
"A_B20_tau0","A",20,"tau",0,0,0,0,0,0,20
"B_B5_alpha005","B",5,"alpha",0.05,95.127085,10.12,0.496822334876798,9.14622822364147,11.0937717763585,5
"B_B8_alpha005","B",8,"alpha",0.05,87.392293,4.78999999999999,0.290413911926133,4.22078873262477,5.35921126737521,8
"B_B10_alpha005","B",10,"alpha",0.05,77.607043,4.7,0.277104288647406,4.15687559425109,5.24312440574892,10
"B_B10_alpha03","B",10,"alpha",0.3,0.5931,5.045,0.292332744374341,4.47202782102629,5.61797217897371,10
"B_B13_alpha03","B",13,"alpha",0.3,0.415701,2.845,0.224234823915144,2.40549974512632,3.28450025487368,13
"B_B16_alpha005","B",16,"alpha",0.05,30.757105,2.95,0.237284225779556,2.48492291747207,3.41507708252793,16
"B_B16_alpha03","B",16,"alpha",0.3,0.278918,0.565,0.128539088596804,0.313063386350264,0.816936613649736,16
"B_B20_alpha03","B",20,"alpha",0.3,0,0,0,0,0,20
