"plan_label","model","B","param_name","param_value","milp_damage","sim_mean","sim_se","sim_ci_lo","sim_ci_hi","n_cleared"
"baseline","none",0,"",NA,NA,17.6,1.52407810506934,14.6128069140641,20.5871930859359,0
"corridor_row10","corridor",17,"",NA,NA,2.175,0.735477061190687,0.733464960066255,3.61653503993375,17
"A_B13_tau0","A",13,"tau",0,80,4.875,0.625502310709975,3.64901547100845,6.10098452899155,13
"A_B20_tau0","A",20,"tau",0,0,0,0,0,0,20
"B_B5_alpha005","B",5,"alpha",0.05,95.127085,10.275,1.09887876844477,8.12119761384825,12.4288023861517,5
"B_B8_alpha005","B",8,"alpha",0.05,87.392293,4.075,0.548040708424523,3.00084021148793,5.14915978851206,8
"B_B10_alpha005","B",10,"alpha",0.05,77.607043,4.35,0.549451531005805,3.27307499922862,5.42692500077138,10
"B_B10_alpha03","B",10,"alpha",0.3,0.5931,4.6,0.666272915545836,3.29410508553016,5.90589491446984,10
"B_B13_alpha03","B",13,"alpha",0.3,0.415701,3.1,0.583009002921428,1.957302354274,4.242697645726,13
"B_B16_alpha005","B",16,"alpha",0.05,30.757105,2.7,0.539681648202935,1.64222396952225,3.75777603047775,16
"B_B16_alpha03","B",16,"alpha",0.3,0.278918,0.325,0.166539943448468,-0.00141828915899711,0.651418289158998,16
"B_B20_alpha03","B",20,"alpha",0.3,0,0,0,0,0,20
